0 0 idle idle
2024-01-20 04:57:40.749039 idle D
2024-01-20 04:57:41.583904 idle D
2024-01-20 04:57:42.708711 Right idle
2024-01-20 04:57:43.500141 Right A
2024-01-20 04:57:44.496112 Right A
2024-01-20 04:57:45.466192 Right A
2024-01-20 04:57:46.504266 Right A
2024-01-20 04:57:47.789948 Right D
2024-01-20 04:57:48.659263 Right D
2024-01-20 04:57:49.725232 Right idle
2024-01-20 04:57:50.788430 Right E
2024-01-20 04:57:51.792193 Right A
2024-01-20 04:57:52.692876 Right A
2024-01-20 04:57:53.683993 Right D
2024-01-20 04:57:54.806849 Right E
2024-01-20 04:57:55.746916 idle E
2024-01-20 04:57:56.753158 idle A
2024-01-20 04:57:57.793714 idle A
2024-01-20 04:57:58.765925 idle idle
2024-01-20 04:57:59.694762 idle A
2024-01-20 04:58:00.691120 idle E
2024-01-20 04:58:01.727459 idle idle
2024-01-20 04:58:02.694124 Down A
2024-01-20 04:58:03.726047 Down idle
2024-01-20 04:58:04.688681 Down idle
2024-01-20 04:58:05.735149 Down idle
2024-01-20 04:58:06.611111 idle idle
2024-01-20 04:58:07.770493 idle idle
2024-01-20 04:58:08.756254 Down A
2024-01-20 04:58:09.728900 Down A
2024-01-20 04:58:10.621191 Down idle
2024-01-20 04:58:11.789184 Down idle
2024-01-20 04:58:12.917506 Down idle
2024-01-20 04:58:13.733825 Down idle
2024-01-20 04:58:14.610485 idle A
2024-01-20 04:58:15.721234 idle idle
2024-01-20 04:58:16.823244 idle idle
2024-01-20 04:58:17.663276 idle D
2024-01-20 04:58:18.696916 idle E
2024-01-20 04:58:19.773534 idle idle
2024-01-20 04:58:20.495561 idle E
2024-01-20 04:58:21.537377 idle E
2024-01-20 04:58:23.233166 idle A
2024-01-20 04:58:23.778782 idle idle
2024-01-20 04:58:24.649783 idle idle
